datetime,new_dn,dn_rice,dn_soup,dn_main,dn_eater,workers,real-in-worker,biztrip,overtime,remote-work,temperature,rain,wind,humidity,discomfort_index,perceived-temperature,month,date,weekdays,season,near-holiday
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,육개장,자반고등어구이,331,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,밥,청국장찌개,황태양념구이,573,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
2016-02-05,N,밥,차돌박이찌개,닭갈비,330,2601,2142,181,34,0,1.3,0.0,44.4,,,-5.987636413715075,2,5,금,겨울,1
