datetime,new_ln,ln_rice,ln_soup,ln_main,ln_eater,workers,real-in-worker,biztrip,overtime,remote-work,temperature,rain,wind,humidity,discomfort_index,perceived-temperature,month,date,weekdays,season,near-holiday
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,43.9,,,-8.512152067127063,2,1,월,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,47.5,,,-11.088641339118896,2,2,화,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,57.1,,,-10.942190401722268,2,3,수,겨울,0
2016-02-04,N,밥,쇠고기무국,주꾸미볶음,978,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,밥,쇠고기무국,주꾸미볶음,978,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,밥,쇠고기무국,주꾸미볶음,978,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
2016-02-04,N,밥,쇠고기무국,주꾸미볶음,978,2601,2277,220,355,0,-0.2,0.0,53.4,,,-8.640726625139516,2,4,목,겨울,0
